thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,instructions.stopped,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,thankyou.started,text_2.started,text_2.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004616707999957725,0.009962750002159737,2.0034956250019604,,,,,,,,,,,,,,,,,,003,001,2025-09-27_23h08.21.488,VisualSearch,,2025.1.1,None,2025-09-27 23h08.29.066818 +0530,
0,0,0,[np.float64(-0.21888888888888888)],[np.float64(-0.10555555555555556)],[1],[0],[0],[1.1394170839921571],['target'],0,0,0,0,2.058935749999364,,,,,10,2.039601708005648,2.058935749999364,2.058935749999364,0.03962620900711045,3.1790780830051517,[np.float64(-0.21888888888888888)],[np.float64(-0.10555555555555556)],[1],[0],[0],[1.1394170839921571],['target'],,,,,003,001,2025-09-27_23h08.21.488,VisualSearch,,2025.1.1,None,2025-09-27 23h08.29.066818 +0530,
1,0,1,[np.float64(-0.2633333333333333)],[np.float64(0.23333333333333334)],[1],[0],[0],[1.0377195839973865],['target'],1,0,1,0,3.200302124998416,,,,,5,3.190770540997619,3.200302124998416,3.200302124998416,0.011481458001071587,4.228569041006267,[np.float64(-0.2633333333333333)],[np.float64(0.23333333333333334)],[1],[0],[0],[1.0377195839973865],['target'],,,,,003,001,2025-09-27_23h08.21.488,VisualSearch,,2025.1.1,None,2025-09-27 23h08.29.066818 +0530,
2,0,2,[np.float64(-0.3211111111111111)],[np.float64(-0.23777777777777778)],[1],[0],[0],[1.0664039160037646],['target'],2,0,2,0,4.255142750000232,,,,,5,4.2444502080034,4.255142750000232,4.255142750000232,0.01566783300950192,5.3109100830042735,[np.float64(-0.3211111111111111)],[np.float64(-0.23777777777777778)],[1],[0],[0],[1.0664039160037646],['target'],,,,,003,001,2025-09-27_23h08.21.488,VisualSearch,,2025.1.1,None,2025-09-27 23h08.29.066818 +0530,
3,0,3,[np.float64(-0.38333333333333336)],[np.float64(-0.4822222222222222)],[1],[0],[0],[1.140594415992382],['target'],3,0,3,0,5.349194666006952,,,,,10,5.336575082998024,5.349194666006952,5.349194666006952,0.02550270799838472,6.477216915998724,[np.float64(-0.38333333333333336)],[np.float64(-0.4822222222222222)],[1],[0],[0],[1.140594415992382],['target'],,,,,003,001,2025-09-27_23h08.21.488,VisualSearch,,2025.1.1,None,2025-09-27 23h08.29.066818 +0530,
4,0,4,[np.float64(0.43777777777777777)],[np.float64(-0.16555555555555557)],[1],[0],[0],[1.7138934579998022],['target'],4,0,4,0,6.507507000002079,,,,,10,6.497072250000201,6.507507000002079,6.507507000002079,0.019713292000233196,8.211017666006228,[np.float64(0.43777777777777777)],[np.float64(-0.16555555555555557)],[1],[0],[0],[1.7138934579998022],['target'],,,,,003,001,2025-09-27_23h08.21.488,VisualSearch,,2025.1.1,None,2025-09-27 23h08.29.066818 +0530,
5,0,5,[np.float64(-0.1411111111111111)],[np.float64(-0.27444444444444444)],[1],[0],[0],[1.5796423330029938],['target'],5,0,5,0,8.242392665997613,,,,,10,8.231617957993876,8.242392665997613,8.242392665997613,0.020446333990548737,9.811315875005675,[np.float64(-0.1411111111111111)],[np.float64(-0.27444444444444444)],[1],[0],[0],[1.5796423330029938],['target'],,,,,003,001,2025-09-27_23h08.21.488,VisualSearch,,2025.1.1,None,2025-09-27 23h08.29.066818 +0530,
6,0,6,[np.float64(0.20444444444444446)],[np.float64(-0.4855555555555556)],[1],[0],[0],[1.9620798329997342],['target'],6,0,6,0,9.843663749998086,,,,,10,9.832847458004835,9.843663749998086,9.843663749998086,0.021361458013416268,11.794979708007304,[np.float64(0.20444444444444446)],[np.float64(-0.4855555555555556)],[1],[0],[0],[1.9620798329997342],['target'],,,,,003,001,2025-09-27_23h08.21.488,VisualSearch,,2025.1.1,None,2025-09-27 23h08.29.066818 +0530,
7,0,7,[np.float64(-0.3888888888888889)],[np.float64(-0.35888888888888887)],[1],[0],[0],[1.238194833000307],['target'],7,0,7,0,11.81761437500245,,,,,5,11.807562750007492,11.81761437500245,11.81761437500245,0.012414750002790242,13.0458302909974,[np.float64(-0.3888888888888889)],[np.float64(-0.35888888888888887)],[1],[0],[0],[1.238194833000307],['target'],,,,,003,001,2025-09-27_23h08.21.488,VisualSearch,,2025.1.1,None,2025-09-27 23h08.29.066818 +0530,
8,0,8,[np.float64(-0.22111111111111112)],[np.float64(0.08666666666666667)],[1],[0],[0],[1.1011319579993142],['target'],8,0,8,0,13.071904665994225,,,,,5,13.061168041007477,13.071904665994225,13.071904665994225,0.01514199998928234,14.162376916006906,[np.float64(-0.22111111111111112)],[np.float64(0.08666666666666667)],[1],[0],[0],[1.1011319579993142],['target'],,,,,003,001,2025-09-27_23h08.21.488,VisualSearch,,2025.1.1,None,2025-09-27 23h08.29.066818 +0530,
9,0,9,[np.float64(-0.4255555555555556)],[np.float64(-0.30666666666666664)],[1],[0],[0],[1.205211665990646],['target'],9,0,9,0,14.202229957998497,,,,,10,14.189224500005366,14.202229957998497,14.202229957998497,0.02665254200110212,15.394487957993988,[np.float64(-0.4255555555555556)],[np.float64(-0.30666666666666664)],[1],[0],[0],[1.205211665990646],['target'],,,,,003,001,2025-09-27_23h08.21.488,VisualSearch,,2025.1.1,None,2025-09-27 23h08.29.066818 +0530,
