thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,text.stopped,instructions.stopped,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,thankyou.started,text_2.started,text_2.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0054568749910686165,0.011904499988304451,2.054533457994694,2.0000709169980837,,,,,,,,,,,,,,,,,,005,001,2025-09-27_23h25.51.621,VisualSearch,,2025.1.1,119.30914042590526,2025-09-27 23h25.58.852697 +0530,
0,0,0,[np.float64(0.18333333333333332)],[np.float64(-0.32555555555555554)],[1],[0],[0],[1.319607375000487],['target'],0,0,0,0,2.054533457994694,,,,,,10,2.0368527499958873,2.054533457994694,2.054533457994694,0.03687783300119918,3.356536249993951,[np.float64(0.18333333333333332)],[np.float64(-0.32555555555555554)],[1],[0],[0],[1.319607375000487],['target'],,,,,005,001,2025-09-27_23h25.51.621,VisualSearch,,2025.1.1,119.30914042590526,2025-09-27 23h25.58.852697 +0530,
1,0,1,[np.float64(0.11444444444444445)],[np.float64(-0.43333333333333335)],[1],[0],[0],[1.2171997080004076],['target'],1,0,1,0,3.3775740829878487,,,,,,5,3.3676114580011927,3.3775740829878487,3.3775740829878487,0.010886500007472932,4.584879292000551,[np.float64(0.11444444444444445)],[np.float64(-0.43333333333333335)],[1],[0],[0],[1.2171997080004076],['target'],,,,,005,001,2025-09-27_23h25.51.621,VisualSearch,,2025.1.1,119.30914042590526,2025-09-27 23h25.58.852697 +0530,
2,0,2,[np.float64(0.14555555555555555)],[np.float64(0.20666666666666667)],[1],[0],[0],[1.1359402920061257],['target'],2,0,2,0,4.6111700420005945,,,,,,5,4.599484541991842,4.6111700420005945,4.6111700420005945,0.014441374994930811,5.735502874988015,[np.float64(0.14555555555555555)],[np.float64(0.20666666666666667)],[1],[0],[0],[1.1359402920061257],['target'],,,,,005,001,2025-09-27_23h25.51.621,VisualSearch,,2025.1.1,119.30914042590526,2025-09-27 23h25.58.852697 +0530,
3,0,3,[np.float64(-0.1922222222222222)],[np.float64(0.03333333333333333)],[1],[0],[0],[1.434025541995652],['target'],3,0,3,0,5.763756249987637,,,,,,5,5.752488375001121,5.763756249987637,5.763756249987637,0.01678933299263008,7.186579207991599,[np.float64(-0.1922222222222222)],[np.float64(0.03333333333333333)],[1],[0],[0],[1.434025541995652],['target'],,,,,005,001,2025-09-27_23h25.51.621,VisualSearch,,2025.1.1,119.30914042590526,2025-09-27 23h25.58.852697 +0530,
4,0,4,[np.float64(-0.39222222222222225)],[np.float64(0.45555555555555555)],[1],[0],[0],[1.4848233750090003],['target'],4,0,4,0,7.231312332995003,,,,,,10,7.216579207990435,7.231312332995003,7.231312332995003,0.02980450000904966,8.701451582994196,[np.float64(-0.39222222222222225)],[np.float64(0.45555555555555555)],[1],[0],[0],[1.4848233750090003],['target'],,,,,005,001,2025-09-27_23h25.51.621,VisualSearch,,2025.1.1,119.30914042590526,2025-09-27 23h25.58.852697 +0530,
5,0,5,[np.float64(0.16555555555555557)],[np.float64(-0.19333333333333333)],[1],[0],[0],[1.5477679169998737],['target'],5,0,5,0,8.733563332993072,,,,,,10,8.721830750000663,8.733563332993072,8.733563332993072,0.020227624991093762,10.269652999995742,[np.float64(0.16555555555555557)],[np.float64(-0.19333333333333333)],[1],[0],[0],[1.5477679169998737],['target'],,,,,005,001,2025-09-27_23h25.51.621,VisualSearch,,2025.1.1,119.30914042590526,2025-09-27 23h25.58.852697 +0530,
6,0,6,[np.float64(0.34)],[np.float64(-0.15)],[1],[0],[0],[1.1440622500085738],['target'],6,0,6,0,10.302299957998912,,,,,,10,10.290934374992503,10.302299957998912,10.302299957998912,0.021111458001541905,11.43504437500087,[np.float64(0.34)],[np.float64(-0.15)],[1],[0],[0],[1.1440622500085738],['target'],,,,,005,001,2025-09-27_23h25.51.621,VisualSearch,,2025.1.1,119.30914042590526,2025-09-27 23h25.58.852697 +0530,
7,0,7,[np.float64(-0.23777777777777778)],[np.float64(0.1322222222222222)],[1],[0],[0],[1.241584542003693],['target'],7,0,7,0,11.45622562499193,,,,,,5,11.446081916990806,11.45622562499193,11.45622562499193,0.010889041994232684,12.687748124997597,[np.float64(-0.23777777777777778)],[np.float64(0.1322222222222222)],[1],[0],[0],[1.241584542003693],['target'],,,,,005,001,2025-09-27_23h25.51.621,VisualSearch,,2025.1.1,119.30914042590526,2025-09-27 23h25.58.852697 +0530,
8,0,8,"[np.float64(0.3), np.float64(0.2922222222222222)]","[np.float64(0.2911111111111111), np.float64(0.2911111111111111)]","[1, 1]","[0, 0]","[0, 0]","[1.2472838749963557, 1.7658358750049956]","[None, 'target']",8,0,8,0,12.716418750002049,,,,,,5,12.704749541997444,12.716418750002049,12.716418750002049,0.016806833998998627,14.470650916991872,"[np.float64(0.3), np.float64(0.2922222222222222)]","[np.float64(0.2911111111111111), np.float64(0.2911111111111111)]","[1, 1]","[0, 0]","[0, 0]","[1.2472838749963557, 1.7658358750049956]","[None, 'target']",,,,,005,001,2025-09-27_23h25.51.621,VisualSearch,,2025.1.1,119.30914042590526,2025-09-27 23h25.58.852697 +0530,
