reward_today,future_reward,delay,key_resp.keys,k
78,80,162,t,0.000158278
63,68,270,t,0.000293945
45,53,365,t,0.000487062
77,87,210,t,0.000618429
81,90,120,t,0.000925926
75,98,325,t,0.00094359
67,73,90,t,0.000995025
67,75,119,t,0.001003386
72,77,60,t,0.001157407
56,64,120,t,0.001190476
70,90,210,t,0.001360544
76,115,365,t,0.001405912
36,53,330,t,0.001430976
82,127,330,t,0.001662971
33,46,210,t,0.001875902
48,59,120,t,0.001909722
78,113,210,t,0.002136752
88,124,180,t,0.002272727
41,73,330,t,0.002365115
89,121,150,t,0.002397004
49,60,89,t,0.002522357
26,47,274,t,0.002947782
32,71,365,t,0.003339041
36,51,120,t,0.003472222
39,84,330,t,0.003496503
24,52,330,t,0.003535354
88,137,150,t,0.003712121
16,34,270,t,0.004166667
53,75,90,t,0.004612159
86,98,30,t,0.004651163
82,88,14,t,0.005226481
15,46,365,t,0.0056621
40,55,62,t,0.006048387
21,68,330,t,0.006782107
92,131,60,t,0.007065217
44,74,90,t,0.007575758
59,101,90,t,0.007909605
38,94,180,t,0.008187135
36,55,60,t,0.008796296
17,44,180,t,0.008823529
56,68,21,t,0.010204082
14,53,270,t,0.01031746
24,69,150,t,0.0125
81,115,30,t,0.01399177
77,115,30,t,0.016450216
38,68,45,t,0.01754386
62,75,10,l,0.020967742
44,64,21,l,0.021645022
59,77,14,t,0.021791768
95,140,21,t,0.022556391
79,122,24,t,0.022679325
34,91,60,t,0.027941176
56,78,14,t,0.028061224
27,64,45,t,0.030452675
86,123,14,t,0.030730897
5,34,180,t,0.032222222
48,70,14,l,0.032738095
33,66,30,t,0.033333333
27,50,21,t,0.040564374
23,44,21,t,0.043478261
57,93,14,t,0.045112782
77,127,14,l,0.046382189
73,85,3,l,0.054794521
66,103,10,l,0.056060606
57,74,5,l,0.059649123
5,58,150,t,0.070666667
31,78,21,t,0.072196621
80,99,3,l,0.079166667
25,53,14,t,0.08
89,139,7,l,0.080256822
90,112,3,l,0.081481481
15,35,13,t,0.102564103
10,57,45,t,0.104444444
36,55,5,l,0.105555556
38,51,3,l,0.114035088
57,91,5,l,0.119298246
19,42,10,l,0.121052632
61,99,5,l,0.124590164
63,107,5,l,0.13968254
13,56,21,t,0.157509158
75,135,5,l,0.16
13,20,3,l,0.179487179
61,117,5,l,0.183606557
91,143,3,l,0.19047619
11,30,7,l,0.246753247
51,92,3,t,0.267973856
40,74,3,l,0.283333333
7,49,21,l,0.285714286
12,49,10,l,0.308333333
79,131,2,l,0.329113924
16,69,10,l,0.33125
29,52,2,l,0.396551724
63,88,1,l,0.396825397
80,112,1,l,0.4
12,42,5,l,0.5
13,66,7,l,0.582417582
16,69,5,l,0.6625
33,81,2,l,0.727272727
15,74,5,l,0.786666667
11,57,1,l,4.181818182
