delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.4,400,unexp,0,0,0,space,0.440202042,None,200,1,[3.1121164170326665],[3.1121199170593172],0,0,0,1,0.032236083,,0.018640083,0.032236083,0.999288791,0.999288791,1.028061208,1.446897458,space,0.440202042,None,1.448486958,1.850525792,2.158966208,2.139989708,2.142294333,2.158966208,2.158966208,2.158966208,5.271350583,200,1,[3.1121164170326665],[3.1121199170593172],1,1,2025-11-05_00h29.09.962,intentional binding,,2025.1.1,120.4255236,2025-11-05 00h29.17.351509 +0530
0.1,1000,exp,1,1,0,space,0.433781041,None,100,1,[3.230679583037272],[3.230682958033867],0,1,1,3,5.278070041,,5.271574375,5.278070041,6.268788583,6.268788583,6.268788583,6.713807916,space,0.433781041,None,6.715162125,6.818176417,7.12187325,7.107117125,7.108824291,7.12187325,7.12187325,7.12187325,10.3527825,100,1,[3.230679583037272],[3.230682958033867],1,1,2025-11-05_00h29.09.962,intentional binding,,2025.1.1,120.4255236,2025-11-05 00h29.17.351509 +0530
0.7,1000,exp,2,2,0,space,0.417128459,None,150,1,[3.636581541970372],[3.6365849999710917],0,2,2,11,10.36173704,,10.35298146,10.36173704,11.34554821,11.34554821,11.35125392,11.76961304,space,0.417128459,None,11.77124317,12.47329875,12.78218021,12.76795604,12.76992092,12.78218021,12.78218021,12.78218021,16.41899975,150,1,[3.636581541970372],[3.6365849999710917],1,1,2025-11-05_00h29.09.962,intentional binding,,2025.1.1,120.4255236,2025-11-05 00h29.17.351509 +0530
0.4,1000,exp,3,3,0,space,0.007839833,None,300,1,[1.8355408330680802],[1.8355441250605509],0,3,3,10,16.42816146,,16.41920904,16.42816146,17.41282775,17.41282775,17.41927892,17.43084129,space,0.007839833,None,17.43228821,17.82998067,18.13322992,18.1181385,18.11995108,18.13322992,18.13322992,18.13322992,19.96900992,300,1,[1.8355408330680802],[1.8355441250605509],1,1,2025-11-05_00h29.09.962,intentional binding,,2025.1.1,120.4255236,2025-11-05 00h29.17.351509 +0530
0.4,1000,exp,4,4,0,space,0.565012667,None,200,1,[3.631721708108671],[3.6317252500448376],0,4,4,4,19.97866942,,19.96920792,19.97866942,20.96296208,20.96296208,20.97027188,21.53129883,space,0.565012667,None,21.53323108,21.93466196,22.23817558,22.22362058,22.22558242,22.23817558,22.23817558,22.23817558,25.87015188,200,1,[3.631721708108671],[3.6317252500448376],1,1,2025-11-05_00h29.09.962,intentional binding,,2025.1.1,120.4255236,2025-11-05 00h29.17.351509 +0530
0.7,1000,exp,5,5,0,space,0.331857667,None,500,1,[1.701629125047475],[1.701632915996015],0,5,5,8,25.87900542,,25.87043588,25.87900542,26.86896038,26.86896038,26.86896038,27.20368229,space,0.331857667,None,27.20590575,27.91324854,28.21799242,28.20191883,28.20369167,28.21799242,28.21799242,28.21799242,29.91986842,500,1,[1.701629125047475],[1.701632915996015],1,1,2025-11-05_00h29.09.962,intentional binding,,2025.1.1,120.4255236,2025-11-05 00h29.17.351509 +0530
0.7,400,unexp,6,6,0,space,0.492725375,None,550,1,[5.0508882499998435],[5.050891750026494],0,6,6,2,29.9290735,,29.92006713,29.9290735,30.91311463,30.91311463,30.91924896,31.41457442,space,0.492725375,None,31.41635792,32.11833433,32.41886592,32.40696417,32.40841196,32.41886592,32.41886592,32.41886592,37.46998479,550,1,[5.0508882499998435],[5.050891750026494],1,1,2025-11-05_00h29.09.962,intentional binding,,2025.1.1,120.4255236,2025-11-05 00h29.17.351509 +0530
0.1,1000,exp,7,7,0,space,0.274512334,None,200,1,[2.2643131660297513],[2.2643170410301536],0,7,7,6,37.47932483,,37.47018946,37.47932483,38.46339275,38.46339275,38.46945304,38.74829404,space,0.274512334,None,38.74972342,38.85223246,39.15552633,39.14095117,39.14268796,39.15552633,39.15552633,39.15552633,41.42011579,200,1,[2.2643131660297513],[2.2643170410301536],1,1,2025-11-05_00h29.09.962,intentional binding,,2025.1.1,120.4255236,2025-11-05 00h29.17.351509 +0530
0.4,1000,exp,8,8,0,space,0.334413209,None,100,1,[3.1704467500094324],[3.170450165984221],0,8,8,7,41.42944988,,41.42030721,41.42944988,42.41958821,42.41958821,42.41958821,42.76512804,space,0.334413209,None,42.766572,43.17002004,43.48284092,43.46885688,43.47063804,43.48284092,43.48284092,43.48284092,46.65352775,100,1,[3.1704467500094324],[3.170450165984221],1,1,2025-11-05_00h29.09.962,intentional binding,,2025.1.1,120.4255236,2025-11-05 00h29.17.351509 +0530
0.1,1000,exp,9,9,0,space,0.264094,None,200,1,[2.114774000016041],[2.1147774170385674],0,9,9,9,46.66294333,,46.65372971,46.66294333,47.64708675,47.64708675,47.65270833,47.91539587,space,0.264094,None,47.91694246,48.01781317,48.32185871,48.30836488,48.30978738,48.32185871,48.32185871,48.32185871,50.43687442,200,1,[2.114774000016041],[2.1147774170385674],1,1,2025-11-05_00h29.09.962,intentional binding,,2025.1.1,120.4255236,2025-11-05 00h29.17.351509 +0530
0.1,400,unexp,10,10,0,space,0.40466575,None,300,1,[2.419184749945998],[2.4191886249464005],0,10,10,0,50.44641842,,50.43707258,50.44641842,51.43039775,51.43039775,51.43608063,51.83773792,space,0.40466575,None,51.8387025,51.94681062,52.25119838,52.23569604,52.23747317,52.25119838,52.25119838,52.25119838,54.67061825,300,1,[2.419184749945998],[2.4191886249464005],1,1,2025-11-05_00h29.09.962,intentional binding,,2025.1.1,120.4255236,2025-11-05 00h29.17.351509 +0530
0.7,1000,exp,11,11,0,space,0.514038709,None,400,1,[1.785403666086495],[1.7854074580827728],0,11,11,5,54.67997617,,54.67083529,54.67997617,55.66418213,55.66418213,55.67001163,56.18248796,space,0.514038709,None,56.18411892,56.88614417,57.20204471,57.18683275,57.18840875,57.20204471,57.20204471,57.20204471,58.98769063,400,1,[1.785403666086495],[1.7854074580827728],1,1,2025-11-05_00h29.09.962,intentional binding,,2025.1.1,120.4255236,2025-11-05 00h29.17.351509 +0530
0.4,1000,exp,12,0,1,space,0.788056541,None,200,1,[2.852302582934499],[2.852306790999137],1,0,12,10,58.99619971,,58.98789733,58.99619971,59.98102954,59.98102954,59.98731479,60.77184108,space,0.788056541,None,60.77357275,61.18095633,61.48497771,61.46975512,61.47166571,61.48497771,61.48497771,61.48497771,64.33751404,200,1,[2.852302582934499],[2.852306790999137],1,1,2025-11-05_00h29.09.962,intentional binding,,2025.1.1,120.4255236,2025-11-05 00h29.17.351509 +0530
0.1,1000,exp,13,1,1,space,0.279385209,None,100,1,[2.297406791942194],[2.2974104579770938],1,1,13,6,64.34685846,,64.33771967,64.34685846,65.33098354,65.33098354,65.33633142,65.61660592,space,0.279385209,None,65.61851329,65.71944604,66.02338067,66.00859525,66.01038304,66.02338067,66.02338067,66.02338067,68.32105183,100,1,[2.297406791942194],[2.2974104579770938],1,1,2025-11-05_00h29.09.962,intentional binding,,2025.1.1,120.4255236,2025-11-05 00h29.17.351509 +0530
0.4,1000,exp,14,2,1,space,0.385909792,None,200,1,[1.2673941670218483],[1.2673981670523062],1,2,14,4,68.33059329,,68.32122967,68.33059329,69.31438925,69.31438925,69.32034854,69.70513271,space,0.385909792,None,69.70631638,70.11446146,70.41983508,70.40341167,70.40523221,70.41983508,70.41983508,70.41983508,71.68747971,200,1,[1.2673941670218483],[1.2673981670523062],1,1,2025-11-05_00h29.09.962,intentional binding,,2025.1.1,120.4255236,2025-11-05 00h29.17.351509 +0530
