thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,up,0,0.9926995409987285,None,-3,0,0,0,0,0.01173574999847915,,0.006356124999001622,0.01173574999847915,1.0108167910002521,1.0226986659981776,2.3902130409987876,up,0,0.9926995409987285,None,-3,01,001,2025-09-07_01h14.06.694,signal detection,,2025.1.1,None,2025-09-07 01h14.16.594885 +0530,
1,0,1,up,0,0.7244082069992146,None,1,1,0,1,0,2.4301285410001583,,2.3904084579990013,2.4301285410001583,3.380989416000375,3.423222290999547,4.1087609579990385,up,0,0.7244082069992146,None,1,01,001,2025-09-07_01h14.06.694,signal detection,,2025.1.1,None,2025-09-07 01h14.16.594885 +0530,
2,0,2,up,1,0.5450249160021485,None,0,2,0,2,0,4.13206608299879,,4.109559582997463,4.13206608299879,5.10640124999918,5.129789999999048,5.658746332999726,up,1,0.5450249160021485,None,0,01,001,2025-09-07_01h14.06.694,signal detection,,2025.1.1,None,2025-09-07 01h14.16.594885 +0530,
3,0,3,up,1,0.4812295410010847,None,0,3,0,3,0,5.667761499997141,,5.6593097080003645,5.667761499997141,6.656267082998966,6.662195999997493,7.14204404100019,up,1,0.4812295410010847,None,0,01,001,2025-09-07_01h14.06.694,signal detection,,2025.1.1,None,2025-09-07 01h14.16.594885 +0530,
4,0,4,up,0,1.4354181659982714,None,-3,4,0,4,0,7.151000750000094,,7.142634290998103,7.151000750000094,8.140009332997579,8.145974832998036,9.581656250000378,up,0,1.4354181659982714,None,-3,01,001,2025-09-07_01h14.06.694,signal detection,,2025.1.1,None,2025-09-07 01h14.16.594885 +0530,
5,0,5,down,1,0.9394219990026613,None,4,5,0,5,0,9.5904231659988,,9.58225499999753,9.5904231659988,10.580160499997874,10.580160499997874,11.525476707996859,down,1,0.9394219990026613,None,4,01,001,2025-09-07_01h14.06.694,signal detection,,2025.1.1,None,2025-09-07 01h14.16.594885 +0530,
6,0,6,up,1,0.5628231250011595,None,0,6,0,6,0,11.535183957999834,,11.52608387500004,11.535183957999834,12.523753499997838,12.530232082997827,13.092227249999269,up,1,0.5628231250011595,None,0,01,001,2025-09-07_01h14.06.694,signal detection,,2025.1.1,None,2025-09-07 01h14.16.594885 +0530,
7,0,7,up,1,0.9862959160018363,None,0,7,0,7,0,13.101399582999875,,13.092834457998833,13.101399582999875,14.090251040997828,14.097057082999527,15.081294040999637,up,1,0.9862959160018363,None,0,01,001,2025-09-07_01h14.06.694,signal detection,,2025.1.1,None,2025-09-07 01h14.16.594885 +0530,
8,0,8,up,0,1.1084082490015135,None,-3,8,0,8,0,15.089673665999726,,15.081854290998308,15.089673665999726,16.08025754099799,16.08025754099799,17.192446665998432,up,0,1.1084082490015135,None,-3,01,001,2025-09-07_01h14.06.694,signal detection,,2025.1.1,None,2025-09-07 01h14.16.594885 +0530,
9,0,9,down,0,0.6134891659967252,None,0,9,0,9,0,17.201472624998132,,17.193051040998398,17.201472624998132,18.190295041000354,18.196191790997545,18.808915415997035,down,0,0.6134891659967252,None,0,01,001,2025-09-07_01h14.06.694,signal detection,,2025.1.1,None,2025-09-07 01h14.16.594885 +0530,
10,0,10,down,0,0.6467358750014682,None,0,10,0,10,0,18.81816804099799,,18.80951329099844,18.81816804099799,19.807032582997635,19.813419374997466,20.45888145799836,down,0,0.6467358750014682,None,0,01,001,2025-09-07_01h14.06.694,signal detection,,2025.1.1,None,2025-09-07 01h14.16.594885 +0530,
