Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
police,0,0,0,3.9955555555555557,2.2265512500307523,,,,,,,,,,,,0,0,0,12,,,,,0.024916500027757138,,0.01247954199789092,0.024916500027757138,0.024916500027757138,2.2481962500023656,3.9955555555555557,2.2265512500307523,,,,,,,,,,,,,,,,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
cushion,1,1,0,3.9955555555555557,1.7884395000291988,,,,,,,,,,,,0,1,1,1,,,,,2.2588649170356803,,2.251438250008505,2.2588649170356803,2.2588649170356803,4.048338458000217,3.9955555555555557,1.7884395000291988,,,,,,,,,,,,,,,,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
poster,2,2,0,3.9955555555555557,1.0724432499846444,,,,,,,,,,,,0,2,2,14,,,,,4.058230542053934,,4.05075170804048,4.058230542053934,4.058230542053934,5.130639917042572,3.9955555555555557,1.0724432499846444,,,,,,,,,,,,,,,,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
mouse,3,3,0,3.9955555555555557,1.0242699590162374,,,,,,,,,,,,0,3,3,8,,,,,5.139705958019476,,5.132728792028502,5.139705958019476,5.139705958019476,6.164454833022319,3.9955555555555557,1.0242699590162374,,,,,,,,,,,,,,,,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
marble,4,4,0,3.96,1.3714991659508087,,,,,,,,,,,,0,4,4,3,,,,,6.174356333038304,,6.167236417008098,6.174356333038304,6.174356333038304,7.548249083047267,3.96,1.3714991659508087,,,,,,,,,,,,,,,,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
cruise,5,5,0,4.973333333333334,1.6392495000036433,,,,,,,,,,,,0,5,5,11,,,,,7.556851875036955,,7.549990833038464,7.556851875036955,7.556851875036955,9.198293167049997,4.973333333333334,1.6392495000036433,,,,,,,,,,,,,,,,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
chart,6,6,0,2.9733333333333336,1.4065193749847822,,,,,,,,,,,,0,6,6,6,,,,,9.207645917020272,,9.200162207998801,9.207645917020272,9.207645917020272,10.614091583003756,2.9733333333333336,1.4065193749847822,,,,,,,,,,,,,,,,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
board,7,7,0,2.9733333333333336,1.4235553750186227,,,,,,,,,,,,0,7,7,4,,,,,10.62355675001163,,10.616645000001881,10.62355675001163,10.62355675001163,12.048361624998506,2.9733333333333336,1.4235553750186227,,,,,,,,,,,,,,,,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
phone,8,8,0,1.9866666666666666,1.323477833007928,,,,,,,,,,,,0,8,8,2,,,,,12.05700979201356,,12.050103583023883,12.05700979201356,12.05700979201356,13.381440833036322,1.9866666666666666,1.323477833007928,,,,,,,,,,,,,,,,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
pastry,9,9,0,3.0044444444444443,1.5057464170386083,,,,,,,,,,,,0,9,9,9,,,,,13.391146500012837,,13.384025792009197,13.391146500012837,13.391146500012837,14.898399249999784,3.0044444444444443,1.5057464170386083,,,,,,,,,,,,,,,,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
keys,10,10,0,1.0177777777777777,1.4234820409910753,,,,,,,,,,,,0,10,10,13,,,,,14.907323375053238,,14.900052000011783,14.907323375053238,14.907323375053238,16.331807042006403,1.0177777777777777,1.4234820409910753,,,,,,,,,,,,,,,,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
laptop,11,11,0,2.96,1.5065670420299284,,,,,,,,,,,,0,11,11,5,,,,,16.34086166700581,,16.333498332998715,16.34086166700581,16.34086166700581,17.84847741702106,2.96,1.5065670420299284,,,,,,,,,,,,,,,,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
book,12,12,0,1,1.5391898750094697,,,,,,,,,,,,0,12,12,0,,,,,17.857439125014935,,17.850036292045843,17.857439125014935,17.857439125014935,19.3985170830274,1,1.5391898750094697,,,,,,,,,,,,,,,,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
case,13,13,0,1,0.7400902500376105,,,,,,,,,,,,0,13,13,10,,,,,19.40737141703721,,19.40008170803776,19.40737141703721,19.40737141703721,20.147527958033606,1,0.7400902500376105,,,,,,,,,,,,,,,,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
tshirt,14,14,0,1,0.8409544170135632,,,,,,,,,,,,0,14,14,7,,,,,20.15700258302968,,20.149362916999962,20.15700258302968,20.15700258302968,20.99856587505201,1,0.8409544170135632,,,,,,,,,,,,,,,,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,0,0,0,,,_o_rd,board,old,board,[np.float64(-0.13666666666666666)],[np.float64(-0.30444444444444446)],[1],[0],[0],[6.737333708035294],['submit_text'],,,,,0,0,0,9,21.012823417026084,,,,,,,,21.003708667005412,21.012823417026084,21.012823417026084,21.012823417026084,0.005140458000823855,27.74121158302296,board,[np.float64(-0.13666666666666666)],[np.float64(-0.30444444444444446)],[1],[0],[0],[6.737333708035294],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,1,1,0,,,c_m_ra,camera,new,,[np.float64(-0.014444444444444444)],[np.float64(-0.3022222222222222)],[1],[0],[0],[3.479301374987699],['submit_text'],,,,,0,1,1,18,27.75249112502206,,,,,,,,27.743573042040225,27.75249112502206,27.75249112502206,27.75249112502206,0.0022067500394769013,31.223061458033044,,[np.float64(-0.014444444444444444)],[np.float64(-0.3022222222222222)],[1],[0],[0],[3.479301374987699],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,2,2,0,,,bo_t_e,bottle,new,bottle,[np.float64(0.013333333333333334)],[np.float64(-0.28555555555555556)],[1],[0],[0],[4.09944641700713],['submit_text'],,,,,0,2,2,17,31.232040083035827,,,,,,,,31.224576042033732,31.232040083035827,31.232040083035827,31.232040083035827,0.001410165976267308,35.32417683303356,bottle,[np.float64(0.013333333333333334)],[np.float64(-0.28555555555555556)],[1],[0],[0],[4.09944641700713],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,3,3,0,,,c_s_,case,old,case,[np.float64(0.022222222222222223)],[np.float64(-0.31555555555555553)],[1],[0],[0],[4.114983708015643],['submit_text'],,,,,0,3,3,5,35.33536087500397,,,,,,,,35.32594795804471,35.33536087500397,35.33536087500397,35.33536087500397,0.0016669580363668501,39.44113083300181,case,[np.float64(0.022222222222222223)],[np.float64(-0.31555555555555553)],[1],[0],[0],[4.114983708015643],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,4,4,0,,,c_s_io_,cushion,old,cushion,[np.float64(0.02666666666666667)],[np.float64(-0.31222222222222223)],[1],[0],[0],[7.664484834007453],['submit_text'],,,,,0,4,4,13,39.4521740420023,,,,,,,,39.443404167017434,39.4521740420023,39.4521740420023,39.4521740420023,0.0021699999924749136,47.10810762504116,cushion,[np.float64(0.02666666666666667)],[np.float64(-0.31222222222222223)],[1],[0],[0],[7.664484834007453],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,5,5,0,,,p_li_e,police,old,police,[np.float64(0.024444444444444446)],[np.float64(-0.29777777777777775)],[1],[0],[0],[3.6468774170498364],['submit_text'],,,,,0,5,5,7,47.119815542013384,,,,,,,,47.1103440830484,47.119815542013384,47.119815542013384,47.119815542013384,0.002130666980519891,50.757437625026796,police,[np.float64(0.024444444444444446)],[np.float64(-0.29777777777777775)],[1],[0],[0],[3.6468774170498364],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,6,6,0,,,t_hi_t,tshirt,old,tshirt,[np.float64(0.014444444444444444)],[np.float64(-0.31444444444444447)],[1],[0],[0],[3.5314690829836763],['submit_text'],,,,,0,6,6,2,50.76885466702515,,,,,,,,50.759657333022915,50.76885466702515,50.76885466702515,50.76885466702515,0.002107416046783328,54.291339292016346,tshirt,[np.float64(0.014444444444444444)],[np.float64(-0.31444444444444447)],[1],[0],[0],[3.5314690829836763],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,7,7,0,,,_ru_s_,cruise,old,bruise,[np.float64(0.015555555555555555)],[np.float64(-0.29555555555555557)],[1],[0],[0],[5.814356125018094],['submit_text'],,,,,0,7,7,6,54.30251125001814,,,,,,,,54.29367100005038,54.30251125001814,54.30251125001814,54.30251125001814,0.0022284590522758663,60.10823304200312,bruise,[np.float64(0.015555555555555555)],[np.float64(-0.29555555555555557)],[1],[0],[0],[5.814356125018094],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,8,8,0,,,v_s_,vase,new,vase,[np.float64(0.015555555555555555)],[np.float64(-0.3011111111111111)],[1],[0],[0],[6.213753375050146],['submit_text'],,,,,0,8,8,16,60.11983558302745,,,,,,,,60.110853625054006,60.11983558302745,60.11983558302745,60.11983558302745,0.0025254999636672437,66.32481558300788,vase,[np.float64(0.015555555555555555)],[np.float64(-0.3011111111111111)],[1],[0],[0],[6.213753375050146],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,9,9,0,,,k_y_,keys,old,keys,[np.float64(-0.014444444444444444)],[np.float64(-0.2866666666666667)],[1],[0],[0],[4.248142625030596],['submit_text'],,,,,0,9,9,8,66.33519087504828,,,,,,,,66.32659583300119,66.33519087504828,66.33519087504828,66.33519087504828,0.0016749170026741922,70.5749455000041,keys,[np.float64(-0.014444444444444444)],[np.float64(-0.2866666666666667)],[1],[0],[0],[4.248142625030596],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,10,10,0,,,p_nc_l,pencil,new,,[np.float64(-0.021111111111111112)],[np.float64(-0.29555555555555557)],[1],[0],[0],[3.3308203750057146],['submit_text'],,,,,0,10,10,15,70.5859089580481,,,,,,,,70.57700191700133,70.5859089580481,70.5859089580481,70.5859089580481,0.001946625008713454,73.9080260420451,,[np.float64(-0.021111111111111112)],[np.float64(-0.29555555555555557)],[1],[0],[0],[3.3308203750057146],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,11,11,0,,,_ha_t,chart,old,chart,[np.float64(-0.01888888888888889)],[np.float64(-0.3)],[1],[0],[0],[3.3323715420556255],['submit_text'],,,,,0,11,11,1,73.91768900002353,,,,,,,,73.90961437503574,73.91768900002353,73.91768900002353,73.91768900002353,0.0014853329630568624,77.2421947500552,chart,[np.float64(-0.01888888888888889)],[np.float64(-0.3)],[1],[0],[0],[3.3323715420556255],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,12,12,0,,,_ou_e,mouse,old,mouse,[np.float64(-0.016666666666666666)],[np.float64(-0.30333333333333334)],[1],[0],[0],[2.713732708012685],['submit_text'],,,,,0,12,12,3,77.25334112503333,,,,,,,,77.2443604580476,77.25334112503333,77.25334112503333,77.25334112503333,0.0020604169694706798,79.95830804202706,mouse,[np.float64(-0.016666666666666666)],[np.float64(-0.30333333333333334)],[1],[0],[0],[2.713732708012685],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,13,13,0,,,_ho_e,phone,old,phone,[np.float64(-0.057777777777777775)],[np.float64(-0.29888888888888887)],[1],[0],[0],[5.181672332982998],['submit_text'],,,,,0,13,13,11,79.96969687502133,,,,,,,,79.96025479200762,79.96969687502133,79.96969687502133,79.96969687502133,0.0018482080195099115,85.14213854202535,phone,[np.float64(-0.057777777777777775)],[np.float64(-0.29888888888888887)],[1],[0],[0],[5.181672332982998],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,14,14,0,,,p_st_r,poster,new,pastry,[np.float64(-0.07111111111111111)],[np.float64(-0.29444444444444445)],[1],[0],[0],[3.330860666988883],['submit_text'],,,,,0,14,14,19,85.15311220800504,,,,,,,,85.14412966702366,85.15311220800504,85.15311220800504,85.15311220800504,0.0019001250038854778,88.47520754201105,pastry,[np.float64(-0.07111111111111111)],[np.float64(-0.29444444444444445)],[1],[0],[0],[3.330860666988883],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,15,15,0,,,l_pt_p,laptop,old,laptop,[np.float64(-0.04555555555555556)],[np.float64(-0.3055555555555556)],[1],[0],[0],[3.2980162919848226],['submit_text'],,,,,0,15,15,0,88.4854047500412,,,,,,,,88.47717454202939,88.4854047500412,88.4854047500412,88.4854047500412,0.0018556249560788274,91.77543204202084,laptop,[np.float64(-0.04555555555555556)],[np.float64(-0.3055555555555556)],[1],[0],[0],[3.2980162919848226],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,16,16,0,,,p_st_y,pastry,old,pastry,[np.float64(-0.02666666666666667)],[np.float64(-0.3055555555555556)],[1],[0],[0],[4.7135805420111865],['submit_text'],,,,,0,16,16,4,91.78729704202851,,,,,,,,91.77789508301066,91.78729704202851,91.78729704202851,91.78729704202851,0.002354874974116683,96.49172091705259,pastry,[np.float64(-0.02666666666666667)],[np.float64(-0.3055555555555556)],[1],[0],[0],[4.7135805420111865],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,17,17,0,,,_a_bl_,marble,old,marble,[np.float64(0.008888888888888889)],[np.float64(-0.30777777777777776)],[1],[0],[0],[4.432255833002273],['submit_text'],,,,,0,17,17,10,96.50306908303173,,,,,,,,96.49367841699859,96.50306908303173,96.50306908303173,96.50306908303173,0.001867040991783142,100.92615854204632,marble,[np.float64(0.008888888888888889)],[np.float64(-0.30777777777777776)],[1],[0],[0],[4.432255833002273],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,18,18,0,,,ta_l_,table,new,,[np.float64(0.022222222222222223)],[np.float64(-0.28555555555555556)],[1],[0],[0],[12.045967250014655],['submit_text'],,,,,0,18,18,14,100.93762695800979,,,,,,,,100.92848495801445,100.93762695800979,100.93762695800979,100.93762695800979,0.002145292004570365,112.9746790000354,,[np.float64(0.022222222222222223)],[np.float64(-0.28555555555555556)],[1],[0],[0],[12.045967250014655],['submit_text'],110.93340133305173,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
,19,19,0,,,_oo_,book,old,book,[np.float64(0.03333333333333333)],[np.float64(-0.3)],[1],[0],[0],[2.3825788340182044],['submit_text'],,,,,0,19,19,12,112.98383266699966,,,,,,,,112.97616725001717,112.98383266699966,112.98383266699966,112.98383266699966,0.0014029170270077884,115.35895037505543,book,[np.float64(0.03333333333333333)],[np.float64(-0.3)],[1],[0],[0],[2.3825788340182044],['submit_text'],,05,001,2025-10-15_01h09.16.613,Word Priming,,2025.1.1,120.51877306636304,2025-10-15 01h09.23.570820 +0530,
