reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
33,81,2,0,0,0,l,5.532620499958284,None,0,0,0,11,0.039342125004623085,,0.03280975000234321,0.039342125004623085,1.0549675420043059,1.0549675420043059,1.0549675420043059,6.59872725000605,l,5.532620499958284,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
41,73,330,1,1,0,t,4.59829420899041,None,0,1,1,94,6.623287208960392,,6.610797583998647,6.623287208960392,7.620398333994672,7.596472041972447,7.596472041972447,12.198521083977539,t,4.59829420899041,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
39,84,330,2,2,0,t,7.071297249989584,None,0,2,2,93,12.216798249981366,,12.208085124962963,12.216798249981366,13.21397712500766,13.196703708963469,13.196703708963469,20.272311833978165,t,7.071297249989584,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
29,52,2,3,3,0,l,4.224089833965991,None,0,3,3,10,20.30458895897027,,20.28184108401183,20.30458895897027,21.29719979199581,21.272007041960023,21.272007041960023,25.499408125004265,l,4.224089833965991,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
90,112,3,4,4,0,l,14.065353874990251,None,0,4,4,19,25.51451566698961,,25.507062999997288,25.51451566698961,26.50392925000051,26.497196250013076,26.497196250013076,40.56651350000175,l,14.065353874990251,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
48,70,14,5,5,0,t,4.174375250004232,None,0,5,5,39,40.584182624996174,,40.57493145897752,40.584182624996174,41.58176137501141,41.56456895900192,41.56456895900192,45.75017283397028,t,4.174375250004232,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
36,55,60,6,6,0,t,10.420322542020585,None,0,6,6,62,45.76807279197965,,45.759515709010884,45.76807279197965,46.76528004196007,46.74807370896451,46.74807370896451,57.17439183400711,t,10.420322542020585,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
5,58,150,7,7,0,l,13.78808404202573,None,0,7,7,73,57.19015608396148,,57.181704583985265,57.19015608396148,58.18167129199719,58.173428208974656,58.173428208974656,71.9678793749772,l,13.78808404202573,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
12,42,5,8,8,0,l,7.076506667013746,None,0,8,8,21,71.98485895898193,,71.9759252499789,71.98485895898193,72.98293349996675,72.96567595901433,72.96567595901433,80.05156462499872,l,7.076506667013746,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
13,20,3,9,9,0,l,1.8619321669684723,None,0,9,9,13,80.06809095898643,,80.05858349998016,80.06809095898643,81.06670712499181,81.04930604196852,81.04930604196852,82.918135624961,l,1.8619321669684723,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
38,68,45,10,10,0,t,5.061820917006116,None,0,10,10,60,82.93407245900016,,82.92514645896154,82.93407245900016,83.9330142919789,83.91609283396974,83.91609283396974,88.9850720000104,t,5.061820917006116,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
63,68,270,11,11,0,t,3.7669617920182645,None,0,11,11,87,89.0012580420007,,88.99201095895842,89.0012580420007,90.00021912500961,89.98293754196493,89.98293754196493,93.7515784589923,t,3.7669617920182645,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
79,122,24,12,12,0,t,7.131607125978917,None,0,12,12,53,93.76774791697972,,93.75842354196357,93.76774791697972,94.76706566696521,94.7498589589959,94.7498589589959,101.88557325000875,t,7.131607125978917,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
70,90,210,13,13,0,t,4.3967880419804715,None,0,13,13,82,101.90254275000188,,101.89324154198403,101.90254275000188,102.9001202089712,102.88376683398383,102.88376683398383,107.28587699995842,t,4.3967880419804715,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
36,51,120,14,14,0,t,2.913946541957557,None,0,14,14,69,107.3025260840077,,107.29324408399407,107.3025260840077,108.30090304196347,108.28369533398654,108.28369533398654,111.2024543749867,t,2.913946541957557,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
51,92,3,15,15,0,l,1.849189041997306,None,0,15,15,16,111.21941108396277,,111.21012145897839,111.21941108396277,112.21766316698631,112.20040995901218,112.20040995901218,114.0524790000054,l,1.849189041997306,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
14,53,270,16,16,0,t,2.8991670419927686,None,0,16,16,85,114.06852879200596,,114.05939974996727,114.06852879200596,115.06776645896025,115.05059120897204,115.05059120897204,117.95294170896523,t,2.8991670419927686,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
44,64,21,17,17,0,t,4.0755415839958005,None,0,17,17,50,117.96931924996898,,117.96043487498537,117.96931924996898,118.96795004198793,118.95079637499293,118.95079637499293,123.03502399998251,t,4.0755415839958005,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
91,143,3,18,18,0,l,5.433571542031132,None,0,18,18,20,123.0441987499944,,123.03786941699218,123.0441987499944,124.05190999998013,124.03497170901392,124.03497170901392,129.4702237920137,l,5.433571542031132,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
53,75,90,19,19,0,t,2.9574022089946084,None,0,19,19,66,129.48660562495934,,129.47713858401403,129.48660562495934,130.48492437496316,130.4681712499587,130.4681712499587,133.43726541701471,t,2.9574022089946084,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
44,74,90,20,20,0,t,3.1569377089617774,None,0,20,20,65,133.45326241699513,,133.44381437497213,133.45326241699513,134.45141116698505,134.4347676250036,134.4347676250036,137.60382933396613,t,3.1569377089617774,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
25,53,14,21,21,0,l,5.770658042049035,None,0,21,21,38,137.62037379201502,,137.61099545896286,137.62037379201502,138.61851770896465,138.60145595896756,138.60145595896756,144.3772506249952,l,5.770658042049035,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
57,93,14,22,22,0,l,7.121064958977513,None,0,22,22,41,144.39121933397837,,144.38284691696754,144.39121933397837,145.38502012495883,145.37756629200885,145.37756629200885,152.50401004200103,l,7.121064958977513,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
76,115,365,23,23,0,t,2.2995828759740107,None,0,23,23,99,152.51901275001,,152.51005962496856,152.51901275001,153.50878512498457,153.50215499999467,153.50215499999467,155.80376087495824,t,2.2995828759740107,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
11,57,1,24,24,0,l,2.6126512510236353,None,0,24,24,7,155.8186070419615,,155.81088416697457,155.8186070419615,156.8087758339825,156.8021072089905,156.8021072089905,159.42078954196768,l,2.6126512510236353,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
92,131,60,25,25,0,t,4.409950874978676,None,0,25,25,64,159.43710541696055,,159.42823337495793,159.43710541696055,160.43616037501488,160.41891441697953,160.41891441697953,164.8376130000106,t,4.409950874978676,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
63,107,5,26,26,0,l,3.05383070895914,None,0,26,26,29,164.85357475001365,,164.84399554197444,164.85357475001365,165.84285024995916,165.835995292,165.835995292,168.89532004197827,l,3.05383070895914,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
88,124,180,27,27,0,t,2.9219125009840354,None,0,27,27,80,168.91294874995947,,168.90377166698454,168.91294874995947,169.90923250000924,169.89512216701405,169.89512216701405,172.8219217089936,t,2.9219125009840354,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
81,115,30,28,28,0,t,3.587914916977752,None,0,28,28,56,172.8400524999597,,172.83036933396943,172.8400524999597,173.83634895901196,173.81939066696214,173.81939066696214,177.41141637496185,t,3.587914916977752,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
75,98,325,29,29,0,t,1.7896496249595657,None,0,29,29,89,177.42712899995968,,177.41895600000862,177.42712899995968,178.41944112500641,178.41177733399672,178.41177733399672,180.20520170900272,t,1.7896496249595657,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
11,30,7,30,30,0,l,4.5744487079791725,None,0,30,30,0,180.22115733398823,,180.21243904199218,180.22115733398823,181.22026849997928,181.2029295839602,181.2029295839602,185.78801908396417,l,4.5744487079791725,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
26,47,274,31,31,0,t,2.5866783760138787,None,0,31,31,88,185.80296150001232,,185.79389929200988,185.80296150001232,186.79397374996915,186.78666104195872,186.78666104195872,189.37791820900748,t,2.5866783760138787,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
89,139,7,32,32,0,l,5.973302041995339,None,0,32,32,32,189.39229837496532,,189.38418024999555,189.39229837496532,190.3868866249686,190.37003462499706,190.37003462499706,196.34494004200678,l,5.973302041995339,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
75,135,5,33,33,0,l,2.2398734579910524,None,0,33,33,30,196.35924545896705,,196.35147937497823,196.35924545896705,197.35348979197443,197.33815754199168,197.33815754199168,199.5891982499743,l,2.2398734579910524,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
49,60,89,34,34,0,t,2.0501700839959085,None,0,34,34,4,199.6061359589803,,199.59656316699693,199.6061359589803,200.6043122499832,200.5869614169933,200.5869614169933,202.63902962498832,t,2.0501700839959085,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
67,75,119,35,35,0,t,2.6850594590068795,None,0,35,35,5,202.6547605000087,,202.645899583993,202.6547605000087,203.65434316697065,203.63706237496808,203.63706237496808,206.32955562497955,t,2.6850594590068795,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
88,137,150,36,36,0,t,3.6657063759630546,None,0,36,36,75,206.34502312500263,,206.33671420899918,206.34502312500263,207.3372487089946,207.3290191249689,207.3290191249689,210.9962912919582,t,3.6657063759630546,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
56,68,21,37,37,0,t,3.323133166995831,None,0,37,37,51,211.01135370897828,,211.0032344170031,211.01135370897828,212.00397691701073,211.9961911669816,211.9961911669816,215.32312295900192,t,3.323133166995831,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
81,90,120,38,38,0,t,2.1052676260005683,None,0,38,38,72,215.33865449996665,,215.3296710840077,215.33865449996665,216.3381075419602,216.32098149997182,216.32098149997182,218.42975845898036,t,2.1052676260005683,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
79,131,2,39,39,0,l,7.004733834008221,None,0,39,39,12,218.44446245901054,,218.43666412500897,218.44446245901054,219.43759783398127,219.42995187500492,219.42995187500492,226.4398934589699,l,7.004733834008221,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
21,68,330,40,40,0,t,1.6168396249995567,None,0,40,40,90,226.45706233399687,,226.44769741699565,226.45706233399687,227.45517766696867,227.43788191699423,227.43788191699423,229.0564323340077,t,1.6168396249995567,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
40,55,62,41,41,0,t,2.3589619169943035,None,0,41,41,3,229.07215841696598,,229.06345654197503,229.07215841696598,230.06186204199912,230.05473308399087,230.05473308399087,232.42322699999204,t,2.3589619169943035,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
48,59,120,42,42,0,t,2.87533445894951,None,0,42,42,70,232.44011612498434,,232.42978587496327,232.44011612498434,233.438713792013,233.4215153339901,233.4215153339901,236.30709612497594,t,2.87533445894951,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
38,51,3,43,43,0,l,1.5149852510076016,None,0,43,43,14,236.3227142500109,,236.31373895896832,236.3227142500109,237.3221799999592,237.30499808397144,237.30499808397144,238.82393179199426,l,1.5149852510076016,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
16,34,270,44,44,0,t,1.8547291670111008,None,0,44,44,86,238.84023662499385,,238.8311777089839,238.84023662499385,239.83024508401286,239.82323670899495,239.82323670899495,241.68006033397978,t,1.8547291670111008,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
33,46,210,45,45,0,t,3.3731488750199787,None,0,45,45,81,241.69406545901438,,241.68629695900017,241.69406545901438,242.6890168339596,242.6717852500151,242.6717852500151,246.04701666696928,t,3.3731488750199787,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
23,44,21,46,46,0,t,2.907147084013559,None,0,46,46,48,246.06198270898312,,246.05367429199396,246.06198270898312,247.05538404197432,247.03867691697087,247.03867691697087,249.95585099997697,t,2.907147084013559,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
13,66,7,47,47,0,l,3.0018118339939974,None,0,47,47,31,249.97058274998562,,249.96232433395926,249.97058274998562,250.96303895895835,250.9470829589991,250.9470829589991,253.95768095896346,l,3.0018118339939974,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
10,57,45,48,48,0,t,3.0292374590062536,None,0,48,48,58,253.97364812501473,,253.9649092089967,253.97364812501473,254.97278516698861,254.95570824999595,254.95570824999595,257.9912091669976,t,3.0292374590062536,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
16,69,5,49,49,0,l,5.435403376002796,None,0,49,49,23,258.0070963340113,,257.99840954196407,258.0070963340113,259.00606191699626,258.98917012498714,258.98917012498714,264.4313681249623,l,5.435403376002796,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
77,87,210,50,50,0,t,1.5216164999874309,None,0,50,50,83,264.44591645896435,,264.43774712499,264.44591645896435,265.43927849998,265.43142841698136,265.43142841698136,266.95810824999353,t,1.5216164999874309,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
59,101,90,51,51,0,t,6.657421208976302,None,0,51,51,67,266.97446770896204,,266.9658341250033,266.97446770896204,267.973086916958,267.95614837500034,267.95614837500034,274.6253053339897,t,6.657421208976302,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
40,74,3,52,52,0,l,1.129915917001199,None,0,52,52,15,274.64141370897414,,274.6324504169752,274.64141370897414,275.6401724590105,275.62329816696,275.62329816696,276.7581740419846,l,1.129915917001199,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
27,64,45,53,53,0,t,2.156885791977402,None,0,53,53,59,276.7741281669587,,276.76538883399917,276.7741281669587,277.7734751669923,277.75637029198697,277.75637029198697,279.91484933398897,t,2.156885791977402,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
86,98,30,54,54,0,t,2.144175124994945,None,0,54,54,57,279.9294816670008,,279.92134454200277,279.9294816670008,280.9231543340138,280.91512550000334,280.91512550000334,283.065218542004,t,2.144175124994945,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
24,52,330,55,55,0,t,2.8605643340270035,None,0,55,55,91,283.0792737499578,,283.07149379199836,283.0792737499578,284.07357241696445,284.05673066701274,284.05673066701274,286.92552449996583,t,2.8605643340270035,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
17,44,180,56,56,0,t,1.4259438749868423,None,0,56,56,78,286.94152441696497,,286.9320459589944,286.94152441696497,287.94039787497604,287.9234116669977,287.9234116669977,289.3589239589637,t,1.4259438749868423,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
27,50,21,57,57,0,t,2.3866002509603277,None,0,57,57,2,289.3755165839684,,289.3659756249981,289.3755165839684,290.3737888339674,290.3568436669884,290.3568436669884,292.7490367089631,t,2.3866002509603277,None,02,001,2025-10-29_23h51.31.214,delay discounting,,2025.1.1,119.96197207252852,2025-10-29 23h51.36.829476 +0530,
