word,colour,congruency,stim_condition,correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text_2.started,Instructions.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,text_3.started,text_3.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,0.006447792,0.011095750029198825,1.0001049590064213,,,,,,,,,,,,,,,02,001,2025-08-26_11h25.29.258,stroop task,,2025.1.1,None,2025-08-26 11h25.53.985642 +0530
BLUE,blue,Congruent,C,b,0,0,0,b,1,0.7446256250841543,None,0,0,0,3,1.019002375076525,,,,,1.0153485420159996,1.019002375076525,1.4995693750679493,1.4995693750679493,1.4995693750679493,2.3940580000635237,b,1,0.7446256250841543,None,,,,,02,001,2025-08-26_11h25.29.258,stroop task,,2025.1.1,None,2025-08-26 11h25.53.985642 +0530
BLUE,red,Incongruent,I,r,1,1,0,r,1,0.4470420420402661,None,0,1,1,2,2.4002011250704527,,,,,2.394360417034477,2.4002011250704527,2.892403249978088,2.892403249978088,2.892403249978088,3.345560917048715,r,1,0.4470420420402661,None,,,,,02,001,2025-08-26_11h25.29.258,stroop task,,2025.1.1,None,2025-08-26 11h25.53.985642 +0530
RED,blue,Incongruent,I,b,2,2,0,b,1,0.549670166,None,0,2,2,1,3.3540797090390697,,,,,3.349788084044121,3.3540797090390697,3.841651750029996,3.841651750029996,3.841651750029996,4.395310084,b,1,0.549670166,None,,,,,02,001,2025-08-26_11h25.29.258,stroop task,,2025.1.1,None,2025-08-26 11h25.53.985642 +0530
RED,red,Congruent,C,r,3,3,0,r,1,0.47605679102707654,None,0,3,3,0,4.401102375006303,,,,,4.395732292090543,4.401102375006303,4.8922623340040445,4.8922623340040445,4.8922623340040445,5.378932667081244,r,1,0.47605679102707654,None,,,,,02,001,2025-08-26_11h25.29.258,stroop task,,2025.1.1,None,2025-08-26 11h25.53.985642 +0530
RED,red,Congruent,C,r,4,0,1,r,1,0.3504996669944376,None,1,0,4,0,5.385164667037316,,,,,5.3793739170068875,5.385164667037316,5.875752291991375,5.875752291991375,5.875752291991375,6.229154083994217,r,1,0.3504996669944376,None,,,,,02,001,2025-08-26_11h25.29.258,stroop task,,2025.1.1,None,2025-08-26 11h25.53.985642 +0530
BLUE,red,Incongruent,I,r,5,1,1,r,1,0.37880654190666974,None,1,1,5,2,6.244717166991904,,,,,6.231478624977171,6.244717166991904,6.725555959,6.725555959,6.725555959,7.112180875032209,r,1,0.37880654190666974,None,,,,,02,001,2025-08-26_11h25.29.258,stroop task,,2025.1.1,None,2025-08-26 11h25.53.985642 +0530
RED,blue,Incongruent,I,b,6,2,1,b,1,0.4000189999351278,None,1,2,6,1,7.120175749994814,,,,,7.114533959073015,7.120175749994814,7.609318749979138,7.609318749979138,7.609318749979138,8.012398375,b,1,0.4000189999351278,None,,,,,02,001,2025-08-26_11h25.29.258,stroop task,,2025.1.1,None,2025-08-26 11h25.53.985642 +0530
BLUE,blue,Congruent,C,b,7,3,1,b,1,0.41313850006554276,None,1,3,7,3,8.020329584018327,,,,,8.014613084029406,8.020329584018327,8.509306084015407,8.509306084015407,8.509306084015407,8.929072625003755,b,1,0.41313850006554276,None,,,,,02,001,2025-08-26_11h25.29.258,stroop task,,2025.1.1,None,2025-08-26 11h25.53.985642 +0530
BLUE,red,Incongruent,I,r,8,0,2,r,1,0.8309108329704031,None,2,0,8,2,8.935228666989133,,,,,8.9295255,8.935228666989133,9.425526750041172,9.425526750041172,9.425526750041172,10.262573042069562,r,1,0.8309108329704031,None,,,,,02,001,2025-08-26_11h25.29.258,stroop task,,2025.1.1,None,2025-08-26 11h25.53.985642 +0530
