word,colour,Congruency,stim_condition,correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text_2.started,text_2.stopped,Instructions.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,text_3.started,text_3.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,0.00719775,0.011501875007525086,1.0173658330459148,0.9970267920289189,,,,,,,,,,,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,blue,Congruent,C,b,0,0,0,b,1,1.059345040936023,None,0,0,0,3,1.0173658330459148,,,,,,1.013850542,1.0173658330459148,1.494583792053163,1.494583792053163,1.494583792053163,2.7105700420215726,b,1,1.059345040936023,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,red,Incongruent,I,r,1,1,0,r,1,0.9824369999114424,None,0,1,1,2,2.716977791977115,,,,,,2.710873333038762,2.716977791977115,3.201493583037518,3.201493583037518,3.201493583037518,4.1878026250051335,r,1,0.9824369999114424,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,red,Congruent,C,r,2,2,0,r,1,1.4239155419636518,None,0,2,2,0,4.197342582978308,,,,,,4.192428041948006,4.197342582978308,4.686199250048958,4.686199250048958,4.686199250048958,6.114703292027116,r,1,1.4239155419636518,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,blue,Incongruent,I,b,3,3,0,b,1,0.777626792,None,0,3,3,1,6.128212457988411,,,,,,6.115139583009295,6.128212457988411,6.611351375002414,6.611351375002414,6.611351375002414,7.398011832963675,b,1,0.777626792,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,blue,Incongruent,I,b,4,0,1,b,1,0.9192075419705361,None,1,0,4,1,7.403968874947168,,,,,,7.398468249943107,7.403968874947168,7.894816332962364,7.894816332962364,7.894816332962364,8.820652749971487,b,1,0.9192075419705361,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,red,Congruent,C,r,5,1,1,r,1,0.8220483339391649,None,1,1,5,0,8.827463458,,,,,,8.821103041991591,8.827463458,9.318835124955513,9.318835124955513,9.318835124955513,10.148435082985088,r,1,0.8220483339391649,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,red,Incongruent,I,r,6,2,1,r,1,0.8654171249363571,None,1,2,6,2,10.156315958010964,,,,,,10.150775916990824,10.156315958010964,10.644524625036865,10.644524625036865,10.644524625036865,11.514538042014465,r,1,0.8654171249363571,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,blue,Congruent,C,b,7,3,1,b,1,0.6692494169110432,None,1,3,7,3,11.520220958045684,,,,,,11.514987583039328,11.520220958045684,12.011559625039808,12.011559625039808,12.011559625039808,12.687159957946278,b,1,0.6692494169110432,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,blue,Incongruent,I,b,8,0,2,b,1,0.8496723339194432,None,2,0,8,1,12.695221749949269,,,,,,12.68952137499582,12.695221749949269,13.186180707998574,13.186180707998574,13.186180707998574,14.037617750000209,b,1,0.8496723339194432,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,red,Incongruent,I,r,9,1,2,r,1,1.4850520830368623,None,2,1,9,2,14.045808083028533,,,,,,14.039843583013862,14.045808083028533,14.536012124968693,14.536012124968693,14.536012124968693,16.031620500027202,r,1,1.4850520830368623,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,red,Congruent,C,r,10,2,2,r,1,0.7412618329981342,None,2,2,10,0,16.03957945795264,,,,,,16.03388895804528,16.03957945795264,16.527676917030476,16.527676917030476,16.527676917030476,17.270893250009976,r,1,0.7412618329981342,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,blue,Congruent,C,b,11,3,2,b,1,0.6795035830000415,None,2,3,11,3,17.279108499991708,,,,,,17.273118791985326,17.279108499991708,17.76957520795986,17.76957520795986,17.76957520795986,18.454278332996182,b,1,0.6795035830000415,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,blue,Incongruent,I,b,12,0,3,b,1,0.7934800419025123,None,3,0,12,1,18.462489041965455,,,,,,18.456561916973442,18.462489041965455,18.95248095795978,18.95248095795978,18.95248095795978,19.74871967,b,1,0.7934800419025123,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,red,Incongruent,I,r,13,1,3,r,1,0.7129258749773726,None,3,1,13,2,19.75691687501967,,,,,,19.751092999940738,19.75691687501967,20.245193124981597,20.245193124981597,20.245193124981597,20.96506545797456,r,1,0.7129258749773726,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,red,Congruent,C,r,14,2,3,r,1,0.8058445829665288,None,3,2,14,0,20.973223999957554,,,,,,20.96739833301399,20.973223999957554,21.46121929201763,21.46121929201763,21.46121929201763,22.271159832947887,r,1,0.8058445829665288,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,blue,Congruent,C,b,15,3,3,b,1,0.682876875,None,3,3,15,3,22.279367791954428,,,,,,22.273407542030327,22.279367791954428,22.76921591698192,22.76921591698192,22.76921591698192,23.45438370795455,b,1,0.682876875,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,red,Incongruent,I,r,16,0,4,r,1,0.8023988750064746,None,4,0,16,2,23.461298750014976,,,,,,23.454830750008114,23.461298750014976,23.952766375034116,23.952766375034116,23.952766375034116,24.76523024996277,r,1,0.8023988750064746,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,blue,Incongruent,I,b,17,1,4,b,1,1.0450757500948384,None,4,1,17,1,24.773252582992427,,,,,,24.76750287495088,24.773252582992427,25.262088707997464,25.262088707997464,25.262088707997464,26.31531824998092,b,1,1.0450757500948384,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,red,Congruent,C,r,18,2,4,r,1,0.7347977079916745,None,4,2,18,0,26.321399749955162,,,,,,26.315746666979976,26.321399749955162,26.81223762501031,26.81223762501031,26.81223762501031,27.549105582991615,r,1,0.7347977079916745,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,blue,Congruent,C,b,19,3,4,b,1,0.6394940409809351,None,4,3,19,3,27.557002166984603,,,,,,27.551376792020164,27.557002166984603,28.044722166960128,28.044722166960128,28.044722166960128,28.688001750037074,b,1,0.6394940409809351,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,red,Congruent,C,r,20,0,5,r,1,0.7092189580434933,None,5,0,20,0,28.69625845795963,,,,,,28.69051867,28.69625845795963,29.18700420798268,29.18700420798268,29.18700420798268,29.89900066703558,r,1,0.7092189580434933,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,blue,Congruent,C,b,21,1,5,b,1,0.7025716250063851,None,5,1,21,3,29.90722024999559,,,,,,29.901592000038363,29.90722024999559,30.39570716698654,30.39570716698654,30.39570716698654,31.104850042029284,b,1,0.7025716250063851,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,red,Incongruent,I,r,22,2,5,r,1,0.7717238750774413,None,5,2,22,2,31.111562249949202,,,,,,31.105295666959137,31.111562249949202,31.603464292013086,31.603464292013086,31.603464292013086,32.382517333026044,r,1,0.7717238750774413,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,blue,Incongruent,I,b,23,3,5,b,1,0.9570259168976918,None,5,3,23,1,32.390636374941096,,,,,,32.38505695795175,32.390636374941096,32.87922691705171,32.87922691705171,32.87922691705171,33.83834658295382,b,1,0.9570259168976918,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,blue,Incongruent,I,b,24,0,6,b,1,0.8757241249550134,None,6,0,24,1,33.84498242,,,,,,33.83876745798625,33.84498242,34.33575216704048,34.33575216704048,34.33575216704048,35.21543191699311,b,1,0.8757241249550134,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,red,Congruent,C,r,25,1,6,r,1,0.6547189160482958,None,6,1,25,0,35.22158329200465,,,,,,35.21586591703817,35.22158329200465,35.712595041957684,35.712595041957684,35.712595041957684,36.37222495803144,r,1,0.6547189160482958,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,red,Incongruent,I,r,26,2,6,r,1,0.7728191249771044,None,6,2,26,2,36.39599324995652,,,,,,36.37455674994271,36.39599324995652,36.869425707962364,36.869425707962364,36.869425707962364,37.64954024995677,r,1,0.7728191249771044,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,blue,Congruent,C,b,27,3,6,b,1,0.5474661249900237,None,6,3,27,3,37.65541604196187,,,,,,37.649981374968775,37.65541604196187,38.14602987503167,38.14602987503167,38.14602987503167,38.699430332984775,b,1,0.5474661249900237,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,red,Congruent,C,r,28,0,7,r,1,0.6265639999182895,None,7,0,28,0,38.70775991701521,,,,,,38.702198792016134,38.70775991701521,39.195719750015996,39.195719750015996,39.195719750015996,39.83231370802969,r,1,0.6265639999182895,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,blue,Congruent,C,b,29,1,7,b,1,1.0018200000049546,None,7,1,29,3,39.84025695803575,,,,,,39.83460204198491,39.84025695803575,40.329404082964174,40.329404082964174,40.329404082964174,41.33264054195024,b,1,1.0018200000049546,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,red,Incongruent,I,r,30,2,7,r,1,0.6666422920534387,None,7,2,30,2,41.33688516705297,,,,,,41.33307033299934,41.33688516705297,41.828762167016976,41.828762167016976,41.828762167016976,42.49893195799086,r,1,0.6666422920534387,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,blue,Incongruent,I,b,31,3,7,b,1,1.5416419169632718,None,7,3,31,1,42.50681283301674,,,,,,42.501178166945465,42.50681283301674,42.99564279196784,42.99564279196784,42.99564279196784,44.53920945804566,b,1,1.5416419169632718,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,red,Incongruent,I,r,32,0,8,r,1,0.912723625,None,8,0,32,2,44.547112999949604,,,,,,44.54142187500838,44.547112999949604,45.03665391704999,45.03665391704999,45.03665391704999,45.95527862501331,r,1,0.912723625,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
BLUE,blue,Congruent,C,b,33,1,8,b,1,0.9032317079836503,None,8,1,33,3,45.96209466701839,,,,,,45.95570775005035,45.96209466701839,46.45324254198931,46.45324254198931,46.45324254198931,47.36597000004258,b,1,0.9032317079836503,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
RED,blue,Incongruent,I,b,34,2,8,b,1,0.6844824579311535,None,8,2,34,1,47.37379979202524,,,,,,47.36822008294985,47.37379979202524,47.862935542012565,47.862935542012565,47.862935542012565,48.54953670804389,b,1,0.6844824579311535,None,,,,,03,001,2025-08-26_11h27.31.645,stroop task,,2025.1.1,None,2025-08-26 11h27.39.481734 +0530
