reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
36,55,60,0,0,0,t,8.16099804197438,None,0,0,0,62,0.04005291702924296,,0.03427179204300046,0.04005291702924296,0.9989259170251898,0.9989259170251898,1.0348099170369096,9.332597250002436,t,8.16099804197438,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
59,77,14,1,1,0,t,3.6678568749921396,None,0,1,1,42,9.342718875035644,,9.33610337501159,9.342718875035644,10.329796125006396,10.329796125006396,10.33586250001099,14.004642750020139,t,3.6678568749921396,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
73,85,3,2,2,0,t,4.586785666993819,None,0,2,2,17,14.029358500032686,,14.012957792030647,14.029358500032686,15.004998834047,15.004998834047,15.01954912499059,19.598889750021044,t,4.586785666993819,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
63,107,5,3,3,0,l,8.895281417004298,None,0,3,3,29,19.613675708998926,,19.606081667006947,19.613675708998926,20.597196167043876,20.597196167043876,20.60368500003824,29.498994624998886,l,8.895281417004298,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
24,69,150,4,4,0,t,7.349886582989711,None,0,4,4,74,29.51648725004634,,29.508584833994973,29.51648725004634,30.497521959012374,30.497521959012374,30.514337125001475,37.84948962501949,t,7.349886582989711,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
32,71,365,5,5,0,t,3.5648890010197647,None,0,5,5,97,37.86503491702024,,37.857363916991744,37.86503491702024,38.84764187503606,38.84764187503606,38.853612292034086,42.416246542008594,t,3.5648890010197647,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
40,55,62,6,6,0,t,5.330334500991739,None,0,6,6,3,42.43134504201589,,42.423455209005624,42.43134504201589,43.41483366704779,43.41483366704779,43.4209890839993,48.749748459027614,t,5.330334500991739,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
56,78,14,7,7,0,t,5.579797041951679,None,0,7,7,40,48.766199000005145,,48.757782500004396,48.766199000005145,49.74779958400177,49.74779958400177,49.76502595900092,55.333560917002615,t,5.579797041951679,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
82,88,14,8,8,0,t,5.19819412502693,None,0,8,8,44,55.34890083404025,,55.34083775000181,55.34890083404025,56.33133562502917,56.33133562502917,56.33747379202396,61.53410420904402,t,5.19819412502693,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
53,75,90,9,9,0,t,11.084651916986331,None,0,9,9,66,61.550737209036015,,61.54253566701664,61.550737209036015,62.53178412502166,62.53178412502166,62.54871645901585,73.63493791699875,t,11.084651916986331,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
