stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,Instructions.started,instructions.started,Instructions.stopped,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thank_You_.started,thank_you.started,thank_you.stopped,Thank_You_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,0.002909792,0.051216458,3.0106829999713227,,,,,,,,,,,,,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
0,2,10,3.0220530829392374,,,,,3.011696374975145,3.0220530829392374,3.506344125024043,3.506344125024043,3.5098207079572603,3.797337875002995,4.293603416997939,right,10,1,1,0.5444329989841208,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
1,2,8,4.305048333015293,,,,,4.293726374977268,4.305048333015293,4.782686625025235,4.782686625025235,4.797488207928836,5.081039082957432,5.412572582950816,left,-8,1,1,0.6231761659728363,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
2,2,6,5.420138832996599,,,,,5.413000499946065,5.420138832996599,5.910666249925271,5.910666249925271,5.914489791961387,6.1975474579958245,6.349493250017986,left,-6,1,1,0.4340407069539651,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
3,2,4,6.364760374999605,,,,,6.349874124978669,6.364760374999605,6.8498391669709235,6.8498391669709235,6.860425875,7.147846083040349,7.5799025419401005,left,-4,1,1,0.7200477910228074,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
4,2,2,7.588184666936286,,,,,7.5804827499669045,7.588184666936286,8.077220583,8.077220583,8.081210082978942,8.364537207991816,8.548941208,right,2,1,1,0.4694631660822779,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
5,2,1,8.560485000023618,,,,,8.549277249956504,8.560485000023618,9.043939791969024,9.043939791969024,9.047975542023778,9.331194582977332,9.632773707970046,right,1,1,1,0.5847247489728034,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
6,2,1,9.644064499996603,,,,,9.633129624999128,9.644064499996603,10.132414749939926,10.132414749939926,10.132414749939926,10.43123183294665,10.749286792008206,right,1,1,1,0.6153473319718614,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
7,2,1,10.760671500000171,,,,,10.749621832976118,10.760671500000171,11.244184957933612,11.244184957933612,11.248966292012483,11.531313957995735,12.47944699996151,left,-1,1,1,1.224520082003437,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
8,2,1,12.487008832977153,,,,,12.479883500025608,12.487008832977153,12.977159957983531,12.977159957983531,12.981237582978792,13.264621417038143,13.69621904194355,left,-1,1,1,0.7096807910129428,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
9,2,1,13.703876707935706,,,,,13.696654499974102,13.703876707935706,14.194164832937531,14.194164832937531,14.198256458039396,14.481602667015977,14.91269637492951,right,1,1,1,0.7075918330810964,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
10,2,1,14.920370874926448,,,,,14.91312099993229,14.920370874926448,15.410895916982554,15.410895916982554,15.415342374937609,15.698018374969251,16.91293129196856,left,-1,1,1,1.4929512909147888,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
11,2,1,16.920993624953553,,,,,16.913366624969058,16.920993624953553,17.41091687500011,17.41091687500011,17.415029749972746,17.69839375000447,18.09618600003887,left,-1,1,1,0.6708627069601789,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
12,2,1,18.10361612495035,,,,,18.096604291931726,18.10361612495035,18.594184958026744,18.594184958026744,18.598028208012693,18.881154750008136,19.329650499974377,right,1,1,1,0.720629207,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
13,1.5,1,19.33696508302819,,,,,19.33007833303418,19.33696508302819,19.827455166960135,19.827455166960135,19.831491541932337,20.11477574997116,20.562901375000365,left,-1,0,0,0.7274933329317719,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
14,1.5,2.5,20.570574291981757,,,,,20.563343291985802,20.570574291981757,21.060924291959964,21.060924291959964,21.065285583026707,21.348160999943502,21.712451542029157,left,-2.5,0,0,0.6471273740753531,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
15,1.5,4,21.71969362499658,,,,,21.712800708017312,21.71969362499658,22.210977750015445,22.210977750015445,22.215116249979474,22.498578042024747,23.09639466693625,right,4,1,1,0.8759253319585696,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
16,1.5,4,23.10336470801849,,,,,23.09679124993272,23.10336470801849,23.594219416962005,23.594219416962005,23.598242999985814,23.881496249930933,24.279943667002954,left,-4,1,1,0.6716230829479173,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
17,1,4,24.287434249999933,,,,,24.28047624998726,24.287434249999933,24.77771724993363,24.77771724993363,24.781798249925487,25.064771667006426,25.279446957982145,right,4,1,1,0.4982826659688726,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
18,1,3,25.28668562497478,,,,,25.279853167012334,25.28668562497478,25.777902583009563,25.777902583009563,25.782269082963467,26.06499616696965,26.379980999976397,left,-3,1,1,0.5928776239743456,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
19,1,3,26.386731958016753,,,,,26.38038458302617,26.386731958016753,26.877720832941122,26.877720832941122,26.88246795802843,27.165001792018302,27.479723041993566,right,3,1,1,0.590086791,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
20,1,3,27.486436332925223,,,,,27.480071166995913,27.486436332925223,27.977645625011064,27.977645625011064,27.98171929,28.265165042015724,28.496645457926206,left,-3,1,1,0.5103565829340369,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
21,1,2,28.503332916996442,,,,,28.497046874952503,28.503332916996442,28.99465504195541,28.99465504195541,28.998797417036258,29.281795750022866,29.567738833022304,right,2,1,1,0.5692239159252495,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
22,1,2,29.57750766701065,,,,,29.568158874986693,29.57750766701065,30.06618666695431,30.06618666695431,30.06618666695431,30.365123708033934,30.563220583018847,left,-2,1,1,0.49199608201161027,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
23,1,2,30.570384457940236,,,,,30.563622749992646,30.570384457940236,31.061199249932542,31.061199249932542,31.065980041981675,31.348474332946353,31.55029012495652,left,-2,1,1,0.4855911659542471,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
24,1,1,31.56117424997501,,,,,31.550668166950345,31.56117424997501,32.050421708030626,32.050421708030626,32.050421708030626,32.34856850001961,32.74720695801079,left,-1,1,1,0.6814535410376266,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
25,1,1,32.75512099999469,,,,,32.74771892,32.75512099999469,33.244687458034605,33.244687458034605,33.24852912500501,33.53210383292753,33.746739124995656,left,-1,1,1,0.49016920709982514,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
26,1,1,33.753863957943395,,,,,33.747162832994945,33.753863957943395,34.24491362494882,34.24491362494882,34.24899879202712,34.53171799995471,35.14671041700058,right,1,1,1,0.8909379160031676,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
