word,colour,stim_condition,correct_resp,stim_wordtype
LOVE,red,C,r,E
LOVE,blue,I,b,E
PEACE,blue,C,b,E
PEACE,red,I,r,E
JOY,yellow,C,y,E
JOY,red,I,r,E
ANGER,red,C,r,E
ANGER,yellow,I,y,E
SADNESS,blue,C,b,E
SADNESS,green,I,g,E
DANGER,red,C,r,E
DANGER,blue,I,b,E
SAFETY,green,C,g,E
SAFETY,yellow,I,r,E
HAPPINESS,yellow,C,y,E
HAPPINESS,green,I,g,E
DISGUST,green,C,g,E
DISGUST,blue,I,b,E
CALM,blue,C,b,E
CALM,red,I,y,E
SKY,blue,C,b,N
SKY,red,I,r,N
GRASS,green,C,g,N
GRASS,blue,I,b,N
SUN,yellow,C,y,N
SUN,green,I,g,N
TREE,green,C,g,N
TREE,red,I,r,N
RIVER,blue,C,b,N
RIVER,yellow,I,y,N
BALL,red,C,r,N
BALL,green,I,g,N
PEN,blue,C,b,N
PEN,yellow,I,y,N
ROSE,red,C,r,N
ROSE,blue,I,b,N
BUS,yellow,C,y,N
BUS,green,I,g,N
LEAF,green,C,g,N
LEAF,blue,I,b,N
