reward_today,future_reward,delay
11,30,7
15,35,13
27,50,21
40,55,62
49,60,89
67,75,119
78,80,162
11,57,1
63,88,1
80,112,1
29,52,2
33,81,2
79,131,2
13,20,3
38,51,3
40,74,3
51,92,3
73,85,3
80,99,3
90,112,3
91,143,3
12,42,5
15,74,5
16,69,5
36,55,5
57,74,5
57,91,5
61,99,5
61,117,5
63,107,5
75,135,5
13,66,7
89,139,7
12,49,10
16,69,10
19,42,10
62,75,10
66,103,10
25,53,14
48,70,14
56,78,14
57,93,14
59,77,14
77,127,14
82,88,14
86,123,14
7,49,21
13,56,21
23,44,21
31,78,21
44,64,21
56,68,21
95,140,21
79,122,24
33,66,30
77,115,30
81,115,30
86,98,30
10,57,45
27,64,45
38,68,45
34,91,60
36,55,60
72,77,60
92,131,60
44,74,90
53,75,90
59,101,90
67,73,90
36,51,120
48,59,120
56,64,120
81,90,120
5,58,150
24,69,150
88,137,150
89,121,150
5,34,180
17,44,180
38,94,180
88,124,180
33,46,210
70,90,210
77,87,210
78,113,210
14,53,270
16,34,270
63,68,270
26,47,274
75,98,325
21,68,330
24,52,330
36,53,330
39,84,330
41,73,330
82,127,330
15,46,365
32,71,365
45,53,365
76,115,365
